Date,RF,MktRf,beta,ep,dy,sue,pps,LTR,lev,cashdebt,currat,pchcurrat,pchquick,pchsaleinv,quick,salecash,saleinv,salerec,baspread,depr,pchdepr,SMB,HML,STR,mom6m,mom36m,sgr,cp,IPO,divi,divo,acc,sp,cto,UMD,turn,pchgm_pchsale,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,etr,lfe,os,zs,pchcapx_ia,nincr,indmom,ps,bm_ia,cfp_ia,chempia,mve_ia,dolvol,std_dolvol,std_turn,adm,rdm,rds,kz,chinv,chtx,ill,LIQ_PS,idiovol,grltnoa,ob_a,grltnoa_hxz,cfp,rd,cinvest,roavol,cinvest_a,noa,dnoa,tb,pricedelay,age,egr,lgr,dcoa,dcol,dwc,dnca,dncl,dnco,dfin,ta,dsti,dfnl,egr_hxz,ms,chmom,grcapx,retvol,zerotrade,pchcapx3,cei,nef,ndf,nxf,rs,herf,ww,roic,tang,op,nop,ndp,ebp,chcsho,aeavol,ear,moms12m,dpia,pchcapx,cdi,rna,pm,ato,chatoia,chpmia,cashpr,sin,rsup,stdcf,absacc,invest,roaq,stdacc,realestate_hxz,pctacc,maxret,ol,ivg,poa,em,cash,HML_Devil,gma,orgcap,BAB,QMJ,hire,gad,ala,RMW,CMA,HXZ_IA,HXZ_ROE,Intermediary,convind
19760730,0.0047,-0.0107,-0.02264113,0.008086257,-0.025737456,-0.00691355,0.022794604,0.0166,0.014287438,0.00841622,0.01289581,-0.003449162,-0.001587574,0.009087593,-0.013352047,-0.002342663,0.006369937,0.017470603,-0.014990405,-0.010337608,0.010315208,0.003,0.0174,0.0049,-0.01264235,0.016237395,-0.010434326,0.011161327,-0.009577377,0.000459334,0.003216605,0.009829443,0.006815212,0.008517193,-0.0012,-0.027539762,0.007650955,0.006751554,0.006236152,-0.011872954,0.006020883,0.008900657,-0.014286832,0.01730688,-0.000426623,-0.008631071,0.009161628,0.001980335,0.009902086,0.012337054,-0.004913605,-0.003060418,0.031256019,0.000286434,-0.022203041,-0.029012757,-0.007553075,-0.01474961,0.023764489,0.007640149,0.005852038,0.010695505,-0.02753544,-0.02996717,-0.002559498,0.03112791,-0.004063784,0.007017687,-0.004072513,0.004737549,0.014165703,0.008633881,-0.006914855,0.002816872,0.00153442,0.003649439,0.009757321,0.011350861,0.001584881,0.010816834,-0.003477532,0.001263557,-0.001492972,-0.001052129,0.013316625,0.005898347,0.006337923,0.008911587,0.006323602,0.012144338,-0.000803645,-0.016086421,0.005345236,-0.023510838,-0.029135209,0.010468021,-0.001313506,0.014142201,-0.004529552,5.26E-05,-0.000310453,-0.014693435,0.009921773,0.001142005,-0.01464653,0.021051409,0.020269687,-0.01466775,0.024200406,0.007451474,0.003153496,-0.006128354,-0.00318813,0.007139432,0.00265534,-0.001650927,0.000421346,0.009575225,0.017352356,0.01002306,0.00268143,0.019839877,0.050358301,0.005068487,-0.003079791,-0.009521123,0.007132799,0.011601512,0.003129412,0.001477553,0.006090274,-0.029171104,-0.006821155,0.002519881,0.012670232,0.014522715,0.004198513,0.0229946,-0.008471662,-0.00071108,0.01865967,0.000225805,-0.004263039,-0.004946596,-0.005873132,-0.0112,0.0029,0.009213,0.007522,-0.0314,0.006418727
19760831,0.0042,-0.0056,-0.034301549,0.005368061,-0.035216654,-0.007322698,-0.012377542,-0.0197,0.012797683,0.014409571,0.019216741,-0.003820323,-0.002034125,-0.004692663,-0.01768917,-0.012451775,0.005034879,0.007916134,-0.019108257,-0.020991628,0.005692662,-0.0201,0.0079,0.0022,-0.028866155,0.015139671,-0.018295541,0.00475271,-0.009146525,-0.009731859,-0.031130012,-0.008396515,-0.009525235,0.014576629,-0.0085,-0.033931085,-0.013288968,-0.002780235,0.006901777,-0.003862857,-0.002913681,0.014364534,-0.00971255,0.015388819,-0.00778099,-0.002763956,0.009623681,0.006211409,-0.004753212,0.01398217,-0.009461497,0.005476096,0.038819269,0.0036454,-0.023153583,0.001121258,-0.003410388,0.000386331,0.006164871,-0.002393086,-0.010297746,0.018190089,0.01783943,-0.035064968,-0.000677226,0.006705633,-0.008833458,-0.000814876,-0.006746845,0.012995577,0.031942287,0.003552811,-0.012104997,-0.011467241,-0.001350281,-0.010800388,0.010120218,-0.001685027,-0.007991833,-0.004536853,-0.003012296,-0.012664504,-0.006557394,-0.012430777,0.010783534,-0.004668316,-0.005718802,0.001277812,-0.013826254,0.003513831,-0.000429843,-0.031968118,0.001166316,-0.031261888,-0.029915297,-0.00331306,0.001513553,0.015022337,-0.016056651,-0.000287416,0.001119884,-0.003626931,0.01028318,0.001654905,-0.012595791,0.023574928,0.018073449,-0.016403693,0.014262826,-0.004642488,0.003640545,-0.009379817,-0.020518016,-0.005383657,-0.00426052,-0.013414052,0.031821173,0.012567042,0.013274707,0.006546977,-0.010421893,0.029290105,0.054196717,0.002797244,0.003079119,-0.002218476,-0.005374159,0.011743732,-0.000865015,-0.008891857,-0.014061533,-0.018642821,-0.009648309,-0.009705535,-0.006259642,0.007139521,-0.004184471,0.01375883,-0.010514364,-0.004094086,0.01383447,0.00138249,-0.003418249,-0.011730909,-0.01261143,-0.0044,-0.0059,-0.005963,2.60E-05,-0.0509,0.011942296
19760930,0.0044,0.0206,-0.00798834,0.013646325,-0.000147867,-0.003157375,-0.013976834,-0.0056,-0.005758064,-0.016048087,0.00510851,-0.004907639,-0.003709983,0.001696858,-0.000494257,0.013295862,0.011307023,0.002462037,-0.001669585,0.004286415,0.010810282,0,-0.0029,-0.0054,0.000518424,-0.000624325,-0.014129887,0.018921234,-0.015013025,0.003439149,-0.015353743,-0.009093054,-0.009349004,0.008479955,0.0024,0.006262453,-0.001910309,-0.000111614,0.001785274,-0.015033572,0.004631022,0.007485458,0.000917418,-0.006089611,0.004964062,0.002330268,0.012701909,0.008239564,0.005419084,-0.004439944,0.00677353,-0.015370522,0.002972915,0.003116733,0.006274374,0.024636345,-0.002486058,-0.012910597,-0.007396056,-0.00294191,0.015989883,-0.020372724,-0.01533322,0.004169434,-0.015172956,-0.008857686,-0.003292739,0.003438228,-0.001261251,-0.009906448,0.000636711,0.010914921,-0.007578152,-0.003466996,0.008046066,-0.012395955,-0.004420342,-0.002801244,-0.011007078,0.00049503,-0.005099077,-0.009982573,4.66E-05,-0.009525395,-0.005887017,0.004970654,-0.002684268,0.011924307,-0.002356425,-0.007257088,0.009707781,0.007220024,0.002561766,-0.005467582,0.000727505,0.004542592,-0.00444556,-0.005375991,-0.008016223,-0.01024838,0.003438911,-0.006276918,-0.006591608,0.004147796,-0.003454913,0.000843735,-0.003528506,0.004426763,-0.004581916,-0.002089555,-0.004158018,0.005621634,-0.006087946,-0.00035151,0.0005872,-0.010534977,-0.021105181,0.015898145,-0.022471006,-0.001493647,0.005427585,-0.005324753,0.039688101,0.000265307,0.000851399,0.007219268,-0.00035151,-0.004849851,0.001427594,-0.005200393,0.000746215,-0.001363561,-0.009445055,-0.006536446,0.004047824,0.008157391,0.013674322,0.000902291,-0.003678874,-0.014961551,0.01724659,0.005721706,-0.00235466,0.005818003,-0.016887216,0.0099,-0.0114,-0.01415,0.011091,-0.0356,0.004950328
19761029,0.0041,-0.0242,-0.02543919,0.006546267,-0.02457741,0.004986122,-0.005516253,0.0118,0.005460576,0.005864913,0.012861146,-0.000392052,0.000530767,-0.009903439,-0.016451021,-0.011212742,0.016077337,0.020488009,-0.022203198,-0.0130668,0.009658889,0.0025,-0.0013,-0.0151,-0.006699889,-0.002960642,-0.002209374,0.006308616,-0.005944952,-0.003264217,-0.022887783,-0.007479648,-0.00624463,0.006328325,-0.0048,-0.02709677,-0.001240262,-0.010319071,-0.005701035,-0.001575654,0.003530452,0.00368078,-0.009395486,0.005065658,-0.004265044,-0.000709698,0.008105708,-0.002993251,0.005249777,0.009429159,0.001063822,-0.001332617,0.008843544,-0.008636554,-0.020324983,-0.000679565,-0.02157418,-0.021803652,-0.000405094,-0.001404645,0.006632273,0.022695289,0.00439052,-0.029596263,-0.009741232,0.008273064,-0.011053517,-0.005177324,-0.009623965,-0.00362057,-0.001575686,0.000676049,-0.012607584,-0.009563763,-0.010454649,-0.011571923,-0.002218665,0.004604666,-0.011338594,-0.006561081,-0.004288916,-0.002946731,-0.002960347,-0.011160285,0.002354526,-0.005332875,-0.00250671,-0.006528269,-0.009000671,0.003316873,-0.007939046,-0.010455974,0.00447013,-0.022179962,-0.022157922,-0.000169937,-0.016076459,0.010271329,-0.006080785,-0.00010021,0.008852078,-0.00346119,0.009362079,-0.000758935,-0.008965603,0.019886446,0.01110856,-0.009266881,0.00421733,0.001988461,0.001112157,-0.002388822,0.007029622,-0.011215013,0.00277984,-0.002137806,0.025331249,0.008061901,-0.007436059,0.00629896,-0.002870608,0.016189721,0.02149966,0.009945523,-0.014451328,-0.00263949,-0.011233116,-0.005237757,-0.01461075,0.006275848,-0.012332981,-0.02155429,-0.002414316,-0.005729611,0.002910223,0.000902127,-0.008992636,0.002926836,-0.014531669,-0.00992844,0.01117431,0.001451151,-0.006089765,-0.001723273,-0.013344803,-0.0022,-0.0031,-0.011151,0.003192,0.0107,0.008093997
19761130,0.004,0.0036,0.026740547,0.019474886,-0.022321533,0.015068984,0.012752066,0.0059,0.025120655,0.026686107,0.010043192,8.32E-05,-0.000481653,-0.00336278,-0.015364747,-0.016894708,0.01759669,0.0177769,0.008274877,0.00221977,0.019833047,0.0232,0.0151,0.0119,0.027064545,-0.004522745,-0.001429886,0.015535612,-0.018339194,0.038232234,-0.013680364,0.008946431,0.021168329,0.005155367,0.029,0.021369849,-0.006092042,-0.002221885,0.005004973,0.003866567,-0.004486252,-0.000388954,-0.027642021,0.024009803,0.007625441,0.012046873,-0.016945158,0.006959273,0.009234584,0.012500075,0.00832252,-0.007224721,0.010264397,0.021215799,0.027217974,-0.018213921,6.62E-05,-0.022384349,0.023858841,0.005867907,0.019982158,0.015670843,-0.02341377,0.020922974,0.00696029,0.005384438,0.009339637,0.003916166,0.02212376,0.010396861,0.01382466,0.019458881,-0.011296424,9.90E-05,0.001026354,0.017368803,-0.008758998,0.007081015,0.006474445,0.002310419,-0.007434803,0.014271583,0.006871298,-0.009821655,-0.00472096,-0.000128945,0.007597669,-0.013967075,0.010401858,0.014494526,-0.012950657,0.010551747,0.019145807,0.023619057,0.017394451,0.024863059,0.010379635,-0.022972961,0.007762249,-0.00410474,-0.004073828,0.026541501,-0.013089765,-0.017023644,-0.018521483,0.012997784,-0.002500984,-0.005069083,0.023589308,-0.003806005,0.00296748,0.010967364,0.024828436,0.008170847,0.009435823,0.004243757,-0.033542871,-0.010130552,-0.022567808,-0.003731981,-0.005232105,0.023975837,-0.035307725,0.00984569,0.010080417,-0.004484391,0.008145749,0.009103572,0.010709659,0.003044803,-0.003409676,0.010386947,0.008476588,0.003549993,0.012686342,0.009610534,-0.018516086,0.01363778,-0.020207489,-0.012656929,0.004498295,-0.0202516,0.011374617,-0.017094346,-0.014262793,-0.012,0.0008,-0.002691,-0.005431,-0.0247,0.00265245
19761231,0.004,0.0565,0.024845188,0.014499232,0.003661943,0.002485871,0.037473224,0.0394,0.015810657,0.003585599,0.000215554,-0.001569347,0.00284692,0.003967175,0.000336111,0.003977339,-0.00582225,-0.019495475,0.021669206,0.013173989,0.008614949,0.0301,0.0222,0.0274,0.018627234,0.011423362,0.013092825,0.017082265,0.020253906,0.010114148,-0.000510587,0.001586561,0.030617932,-0.001329462,0.0077,0.005205021,-0.005466485,0.005027056,0.003842516,0.007945541,0.000541084,-0.003027926,-0.004595929,0.015035724,0.002439225,-0.00133389,0.001327172,0.002053868,0.021152178,-0.00983505,0.00943208,0.045598976,0.017450243,0.005553226,0.004587895,-0.009947219,0.022394303,0.003386475,0.01855469,0.009029508,-0.00257631,0.060798199,-0.01257718,0.030180748,0.015511772,-0.016881615,0.019245866,0.003827976,0.017050277,0.005551072,-0.026774269,0.008856333,0.019157103,0.007119616,-0.000644225,0.021342882,-0.009162975,0.020936417,0.014514994,0.014451012,0.00744217,0.002830521,0.026873443,0.005659928,0.008511234,0.006397226,0.006407339,-0.002434143,0.018018829,0.018750863,-0.009971404,0.014663764,0.011343896,0.028723939,0.001157687,0.006920014,0.025842369,0.002729562,0.021040578,0.013539128,-0.007387526,-0.002127647,-0.00348123,-0.010908572,-0.006167597,-0.000209122,0.005600979,0.003579793,0.011082996,0.019364357,-0.004642486,-0.000678699,0.010334685,0.013936702,0.015220809,-0.00704616,0.025391424,-0.014292182,-0.00147353,-0.005456591,0.002801955,0.002535803,-0.019909419,0.004813529,-0.005287904,-0.009414251,0.013960667,0.012681772,-0.002813836,-0.00300463,9.70E-05,0.01646799,0.00169551,0.012132468,0.019240444,0.016934066,0.006412076,0.03546118,-0.010801851,-0.003809111,0.03166072,-0.006428389,0.008549643,0.03280738,0.005646859,-0.0044,0.0223,0.018143,-0.011065,0.0461,-0.009289834
19770131,0.0036,-0.0405,-0.017723641,0.040356176,-0.050214442,-0.011295943,0.037971122,0.0057,0.050207975,0.030947878,0.041080616,0.007439128,0.01988103,-0.009127549,-0.026677719,0.000829754,0.028758859,-0.011290274,0.00943139,-0.001215154,0.024536131,0.0478,0.0426,0.0088,0.019737644,0.001010055,0.000766863,0.058357372,-0.008868707,0.001851285,-0.012356061,0.014690709,0.030912909,0.040129609,0.0398,-0.006055671,0.02179509,-0.010934808,0.011091112,0.005699501,-0.024793306,0.011350545,-0.048991704,0.05643073,-0.001173019,-0.003595699,0.02954162,0.006408032,0.061626022,0.013256971,0.01123332,0.045274356,0.068476741,0.004654964,0.00334743,-0.013708671,0.005511525,-0.026180319,0.063738587,0.002241774,-0.00608107,-0.001269783,-0.03166971,0.000394346,-0.004528025,-0.001612204,0.004434762,0.012826844,0.018919319,0.015134367,0.00883898,0.01618722,0.00103775,0.00477771,-0.000807582,0.009666757,-0.003294871,0.026572827,-0.004080068,0.009992256,0.003598508,0.000384427,0.002610488,0.001931929,0.01103802,-0.002074228,-0.008127926,-0.008317099,-0.003120864,0.038931568,-0.034463601,0.029408556,0.002351026,0.01821548,-0.008703256,0.016475812,0.011327213,-0.015326964,-0.004192269,-0.009246006,-0.024191256,-0.000943643,-0.013524315,-0.034109172,-0.02903109,0.039124148,0.023911032,-0.016050107,0.062079603,0.016010731,-0.00339155,0.005144347,0.003065471,0.011721536,4.24E-05,0.013678177,-0.019349872,-0.002501841,-0.030290093,-0.002267595,0.009601478,0.039494378,-0.032849366,-0.004869619,-0.003714379,-0.012459174,0.011626449,0.035809618,-0.003356383,-0.020551971,-0.002381166,0.013788258,-0.028414408,-0.008171588,0.026342445,0.059261319,-0.011471506,0.05141492,-0.044340021,-0.031966858,0.04072265,-0.0193432,0.007404624,0.021705115,-0.030349821,-0.0045,0.0193,0.009722,-0.02168,-0.0596,0.004159445
19770228,0.0035,-0.0195,-0.015369047,0.010275495,-0.010839059,0.000161862,-0.019986911,0.0134,-0.009289356,-0.013422016,-0.018292081,0.00435393,0.005487509,-0.004375219,0.011908164,-0.006462565,-0.005299421,0.000963855,-0.013322961,0.004499575,-0.009753776,0.0109,0.005,-0.0149,-0.006790958,-0.007450314,0.006526722,0.004170303,0.008069627,-0.03959376,-0.01781885,-0.007325103,0.000983197,-0.009936061,0.0038,-0.008484566,-0.008320616,-0.004867355,-0.004090434,-0.003285141,0.002363277,-0.007725891,0.018663869,-0.011540143,-0.005681905,-0.000496917,0.000323635,0.004666117,0.0028778,0.004811023,-0.008616043,0.009659066,0.021310772,-0.006807305,-0.012343814,-0.006367086,0.012140815,0.019942846,-0.005320235,3.56E-05,0.002383755,-0.011176849,-0.01070304,-0.011599328,0.000920267,-0.003413986,4.26E-05,-0.000483949,0.009689295,-0.003154867,0.009377528,-0.013030943,0.006463997,-0.004832867,-0.002825806,-0.011415216,0.004611856,-0.0070279,0.002601134,-0.001333937,-0.002700486,-0.005347983,-0.001382968,-0.005831447,0.005979241,0.007382859,0.002707581,0.007512568,0.00293699,-0.011229837,0.008649642,-0.001566927,-0.009559693,-0.017905739,-0.015999269,-0.006079242,-0.010977209,0.019372345,-0.004716741,0.015787936,0.003614854,0.0102693,0.016473406,0.008624205,0.006474366,0.017901866,0.018620121,0.018339841,-0.009398998,-0.002025199,-0.008942593,0.012199901,-0.00319504,-0.004547268,-0.006023985,0.01321127,0.033547883,0.006538955,0.025662554,0.003427244,-0.015564449,0.004293886,0.028232251,-0.003663531,0.007064857,0.002889524,-0.00449332,-0.009512336,0.003838073,-0.006406607,-0.002575823,-0.016622554,0.003687992,-0.002063042,-0.01128703,-0.003582676,0.002121626,0.003314708,0.009433664,0.012191331,0.02488883,0.01641456,-0.004283789,0.001444613,0.016735086,-0.0016,-0.0019,0.001185,0.012523,-0.0444,0.013039607
19770331,0.0038,-0.0137,0.001886596,0.020217831,-0.015692724,0.012727225,-0.008368956,0.0095,0.010994557,0.011955988,-0.007726009,-0.010083735,-0.004667605,-0.004055847,0.008080118,0.011568993,-0.006428335,-0.014401707,-0.007443481,-0.011226593,-0.003234226,0.0099,0.0102,-0.0091,0.023507552,-0.009076405,0.008238395,0.000606895,-0.025236328,0.01114893,-0.045779575,0.005068585,-0.003015463,0.01212555,0.0048,0.006728231,0.002578661,-0.004288595,-0.005184574,0.007818053,-0.004100403,0.002859664,-0.007341378,0.009281981,-0.002852747,0.004708718,0.011291572,0.005741381,0.004346137,-0.001051992,0.006885295,0.011101304,0.006384524,0.014993806,0.006136906,0.013595497,2.06E-05,0.001760078,0.012794685,-0.008219919,0.008328855,0.041837304,0.01101828,0.007242753,0.007706685,-0.014600625,0.00535252,0.005448182,0.009805643,-0.020243324,0.012260781,0.003120358,0.000222447,0.003438847,0.011613191,0.01477974,-0.003306275,-0.013190771,0.005221494,-0.009004038,0.0046335,-0.000433303,-0.003117073,-0.00542128,-0.001773607,-0.000982996,0.003289179,-0.001197968,-0.000460462,-0.000945161,-0.00252313,0.021152533,0.001805423,0.011884829,0.0019278,0.00272957,-0.004989183,-0.001836116,0.002560071,0.002685965,-0.007668645,0.006443087,-0.008036512,-0.0001667,-0.002195846,0.012379811,0.002922208,0.00717869,0.012036829,-0.007014324,-0.003772174,0.012532661,0.010754945,0.000621063,-0.001547813,0.008951851,0.012925233,0.009847304,-0.004242414,-0.016162644,-0.001658318,0.006093066,-0.069367134,-0.006862019,-0.014185753,-0.004797984,0.000648976,0.001531764,-0.01231386,0.013350488,0.002797371,0.012357832,-0.008621623,-0.002198837,-0.009026518,0.0042648,0.007224967,0.007854426,-0.011006784,-0.006395502,0.01229905,-0.007666152,0.011854658,0.008228976,-0.00371356,-0.0038,-0.0009,-0.001494,0.0033,-0.0365,0.000741512
19770429,0.0038,0.0015,0.005488445,0.024810814,-0.029800289,0.003373107,0.002897723,-0.0121,0.033672053,0.019378537,0.018809968,-0.005810709,-0.008716709,0.000645235,-0.023996948,-0.008581851,0.00839864,0.001946506,0.00644414,-0.007758606,0.010207849,-0.0012,0.0345,0.0023,0.023703075,-0.01189831,0.007558363,0.032932103,0.029116174,-0.017859535,-0.01963446,0.025549935,0.031051933,0.003195764,0.0424,0.015003066,-0.009047695,-0.002210045,-0.000349347,-0.00566196,0.002939857,0.008317105,-0.021839692,0.037156735,0.005726559,-0.001263165,-0.002628459,-0.006209719,0.026086917,0.007419283,0.023737691,0.008009576,0.039780769,-0.001593703,0.003573725,-0.0138438,0.029828602,-0.004296154,0.042852898,0.015902654,-0.008643253,-0.002423326,-0.02974709,-0.000287206,0.01014046,-0.063533319,0.014936879,0.016435916,0.011069471,-0.008913721,-0.003018232,0.011469212,-0.001212675,0.008824493,-0.009813391,0.009109809,0.001391229,0.023602242,0.002785799,0.01704308,0.003978847,0.024506204,0.018015231,-0.003892602,0.003016057,0.000590856,-0.002024668,-0.000643433,0.011968945,0.02808998,-0.015662022,0.018602886,0.016596461,0.01636631,0.009154823,0.01112819,-0.008600068,-0.010277424,0.003756519,-0.020324501,-0.018562416,-0.001531512,0.000776758,-0.02238475,-0.012541712,0.026083319,0.014884427,-0.025227406,0.033300679,0.011105319,0.002412381,-0.000550631,0.014189478,0.01274302,0.017602259,-0.014295714,0.030219573,-0.012253338,-0.001092649,-0.008767112,-0.009422578,0.016205149,0.016140362,-0.003847535,-0.003332957,-0.021411811,0.012732503,0.013772163,-0.003027897,-0.000893494,0.012625617,0.007721502,0.004299433,0.00814227,0.02601925,0.035791672,-0.009689071,0.02556333,-0.03460942,-0.028434823,0.01055662,-0.01671578,0.017171933,0.021701507,-0.009442671,-0.02,0.0116,0.012277,0.003636,-0.0174,-0.007819717
