Variable,Year,year_end,min_stk6
HML,1993,1991,100
UMD,1997,1993,100
RMW,2015,2013,100
CMA,2015,2013,100
STR,1993,1989,100
LTR,1985,1982,100
beta,1973,1968,85
chmom,2006,2006,93
dolvol,2001,1995,4
idiovol,2003,1997,58
mom6m,1993,1989,105
mom36m,1993,1989,81
pricedelay,2005,2001,103
turn,1998,1991,53
absacc,2010,2008,132
acc,1996,1991,120
age,2005,2001,41
cashdebt,1989,1984,96
cashpr,2009,2009,97
cfp,2004,1997,86
chcsho,2008,1969,112
chinv,2002,1997,112
currat,1989,1984,123
depr,1992,1988,125
dy,1979,1977,116
egr,2005,2001,107
ep,1977,1971,93
gma,2013,2010,143
grcapx,2006,1999,112
grltnoa,2003,1993,72
hire,2014,2010,121
invest,2010,2006,100
lev,1988,1981,85
lgr,2005,2001,111
orgcap,2013,2008,129
pchcurrat,1989,1984,145
pchdepr,1992,1988,138
pchgm_pchsale,1998,1988,122
pchquick,1989,1984,133
pchsale_pchinvt,1998,1988,133
pchsale_pchrect,1998,1988,130
pchsale_pchxsga,1998,1988,96
pchsaleinv,1989,1984,130
pctacc,2011,2008,108
quick,1989,1984,140
roic,2007,2005,92
salecash,1989,1984,139
saleinv,1989,1984,96
salerec,1989,1984,131
sgr,1994,1990,110
sp,1996,1991,69
tang,2007,2000,140
aeavol,2008,2006,127
cash,2012,2009,104
chtx,2002,1997,85
cinvest,2004,1995,5
ear,2008,2004,143
roaq,2010,2005,7
roavol,2004,2001,104
rsup,2009,2005,98
stdacc,2010,2008,76
stdcf,2009,2008,77
sue,1982,1980,94
baspread,1989,1979,46
ill,2002,1997,1
maxret,2011,2005,85
retvol,2006,2000,68
std_dolvol,2001,1995,49
std_turn,2001,1995,105
zerotrade,2006,2003,73
adm,2001,1995,22
gad,2014,2010,23
rdm,2001,1995,62
rds,2001,1995,73
ol,2011,2008,116
etr,1998,1988,44
lfe,1998,1988,134
kz,2001,1997,66
ala,2014,2006,44
moms12m,2008,2002,78
ob_a,2003,1999,36
cinvest_a,2004,1995,116
dpia,2008,2005,100
noa,2004,2002,147
dnoa,2004,2002,129
pchcapx,2008,2003,113
pchcapx3,2006,1999,101
cei,2006,2003,62
cdi,2008,2005,115
ivg,2011,2009,115
dcoa,2005,2001,113
dcol,2005,2001,112
dwc,2005,2001,71
dnca,2005,2001,71
dncl,2005,2001,106
dnco,2005,2001,70
dfin,2005,2001,50
ta,2005,2001,28
dfnl,2005,2001,113
poa,2011,2008,119
nef,2006,2000,77
ndf,2006,2000,107
nxf,2006,2000,105
cp,1994,1990,83
op,2007,2003,111
nop,2007,2003,87
em,2011,2009,70
ndp,2007,1950,25
ebp,2007,2001,71
rna,2008,2002,2
pm,2008,2002,86
ato,2008,2002,15
cto,1996,1993,126
os,1998,1995,64
zs,1998,1995,79
realestate_hxz,2010,2005,53
grltnoa_hxz,2003,1993,96
egr_hxz,2005,2001,106
rs,2006,2003,103
pps,1982,1978,26
indmom,1999,1995,126
bm_ia,2000,1998,65
cfp_ia,2000,1998,115
chatoia,2008,2002,120
chempia,2000,1998,123
chpmia,2008,2002,128
herf,2006,2001,152
pchcapx_ia,1998,1988,140
tb,2004,2000,134
ww,2006,2001,49
