Variable,Year,year_end,min_stk
HML,1993,1991,100
UMD,1997,1993,100
RMW,2015,2013,100
CMA,2015,2013,100
STR,1993,1989,100
LTR,1985,1982,100
beta,1973,1968,5
chmom,2006,2006,9
idiovol,2003,1997,1
mom6m,1993,1989,9
mom36m,1993,1989,4
pricedelay,2005,2001,6
turn,1998,1991,5
absacc,2010,2008,20
acc,1996,1991,18
cashdebt,1989,1984,5
cashpr,2009,2009,17
cfp,2004,1997,11
chinv,2002,1997,15
currat,1989,1984,8
depr,1992,1988,21
egr,2005,2001,10
ep,1977,1971,10
gma,2013,2010,26
grcapx,2006,1999,12
grltnoa,2003,1993,11
hire,2014,2010,14
invest,2010,2006,16
lev,1988,1981,8
lgr,2005,2001,11
orgcap,2013,2008,26
pchcurrat,1989,1984,22
pchdepr,1992,1988,14
pchgm_pchsale,1998,1988,16
pchquick,1989,1984,22
pchsale_pchinvt,1998,1988,15
pchsale_pchrect,1998,1988,20
pchsale_pchxsga,1998,1988,13
pchsaleinv,1989,1984,17
pctacc,2011,2008,17
quick,1989,1984,14
roic,2007,2005,9
salecash,1989,1984,22
saleinv,1989,1984,12
salerec,1989,1984,20
sgr,1994,1990,12
sp,1996,1991,4
tang,2007,2000,19
aeavol,2008,2006,13
cash,2012,2009,20
chtx,2002,1997,16
cinvest,2004,1995,19
ear,2008,2004,17
roaq,2010,2005,9
roavol,2004,2001,11
rsup,2009,2005,7
stdacc,2010,2008,7
stdcf,2009,2008,7
sue,1982,1980,10
baspread,1989,1979,1
maxret,2011,2005,2
retvol,2006,2000,2
std_turn,2001,1995,5
zerotrade,2006,2003,7
adm,2001,1995,3
gad,2014,2010,4
rdm,2001,1995,9
rds,2001,1995,10
ol,2011,2008,16
etr,1998,1988,5
lfe,1998,1988,15
kz,2001,1997,6
moms12m,2008,2002,8
ob_a,2003,1999,1
cinvest_a,2004,1995,12
dpia,2008,2005,16
noa,2004,2002,20
dnoa,2004,2002,17
pchcapx,2008,2003,10
pchcapx3,2006,1999,12
cei,2006,2003,2
cdi,2008,2005,14
ivg,2011,2009,18
dcoa,2005,2001,13
dcol,2005,2001,13
dnca,2005,2001,9
dncl,2005,2001,18
dnco,2005,2001,1
dfin,2005,2001,6
dfnl,2005,2001,13
poa,2011,2008,12
nef,2006,2000,5
ndf,2006,2000,11
nxf,2006,2000,18
cp,1994,1990,11
op,2007,2003,9
nop,2007,2003,6
em,2011,2009,8
ebp,2007,2001,7
pm,2008,2002,3
cto,1996,1993,19
zs,1998,1995,8
realestate_hxz,2010,2005,7
grltnoa_hxz,2003,1993,14
egr_hxz,2005,2001,9
rs,2006,2003,15
indmom,1999,1995,10
bm_ia,2000,1998,9
cfp_ia,2000,1998,20
chatoia,2008,2002,12
chempia,2000,1998,19
chpmia,2008,2002,13
herf,2006,2001,15
pchcapx_ia,1998,1988,18
tb,2004,2000,18
